sample-id       input   filtered        percentage of input passed filter       denoised        non-chimeric    percentage of input non-chimeric
0       62496   56523   90.44   54933   52697   84.32
100     21252   19741   92.89   19539   18695   87.97
101     16216   14505   89.45   14035   12703   78.34
102     12048   11151   92.55   11029   10192   84.59
103     268174  256409  95.61   254318  110538  41.22
104     268174  260741  97.23   258759  70269   26.2
105     148670  140775  94.69   139569  57658   38.78
106     148670  144206  97      143449  40854   27.48
107     234997  224463  95.52   222764  86732   36.91
108     234997  228577  97.27   227192  65750   27.98
109     354698  333854  94.12   331454  150262  42.36
10      33546   33028   98.46   32241   30978   92.34
110     354698  344308  97.07   342518  93908   26.48
111     260147  248838  95.65   247091  82209   31.6
112     260147  252133  96.92   250600  63921   24.57
113     195651  185122  94.62   183909  66805   34.14
114     195651  190319  97.27   189357  52748   26.96
115     156931  149512  95.27   148863  66074   42.1
116     156931  151692  96.66   150855  40953   26.1
117     341693  321471  94.08   319166  154172  45.12
118     341693  331094  96.9    329043  107439  31.44
119     247593  235326  95.05   233494  121174  48.94
11      22335   22121   99.04   21514   21094   94.44
120     247593  239417  96.7    238069  82876   33.47
121     219400  208128  94.86   206505  106455  48.52
122     219400  212526  96.87   211451  63209   28.81
123     241932  217533  89.91   215453  90321   37.33
124     241932  224516  92.8    223511  65376   27.02
125     393810  355918  90.38   353052  146320  37.15
126     393810  362882  92.15   360765  111624  28.34
127     556964  504037  90.5    500618  192119  34.49
128     556964  516131  92.67   514076  155317  27.89
129     448060  403368  90.03   399921  152641  34.07
12      27406   26894   98.13   26579   26199   95.6
130     448060  412273  92.01   409862  136991  30.57
131     405395  365270  90.1    362493  139736  34.47
132     405395  374454  92.37   372680  113293  27.95
133     236294  214361  90.72   212613  93173   39.43
134     236294  217944  92.23   216583  67538   28.58
135     471807  427006  90.5    424014  166180  35.22
136     471807  439424  93.14   437703  130198  27.6
137     349943  314883  89.98   312194  132003  37.72
138     349943  322260  92.09   320178  96256   27.51
139     227072  202539  89.2    200185  80634   35.51
13      34069   32965   96.76   32452   31985   93.88
140     227072  208639  91.88   207018  69809   30.74
141     319190  287322  90.02   284911  102265  32.04
142     319190  296584  92.92   295158  94589   29.63
143     711686  640557  90.01   636175  240266  33.76
144     711686  657462  92.38   654795  208382  29.28
145     274701  247301  90.03   246039  113810  41.43
146     274701  249262  90.74   248477  91951   33.47
147     475079  426358  89.74   423963  213896  45.02
148     475079  439409  92.49   438137  168871  35.55
149     255151  231310  90.66   229332  87594   34.33
14      29771   28938   97.2    28569   28444   95.54
150     255151  233548  91.53   232517  69904   27.4
151     226208  200229  88.52   198262  71488   31.6
152     226208  208984  92.39   208366  93914   41.52
153     341850  309540  90.55   307060  132075  38.64
154     341850  307662  90      305961  107769  31.53
155     564201  509430  90.29   505730  190265  33.72
156     564201  509285  90.27   499527  146210  25.91
157     886144  789570  89.1    784135  326052  36.79
158     886144  821721  92.73   819288  239951  27.08
159     553181  500482  90.47   497331  187335  33.87
15      26234   25796   98.33   25421   25380   96.74
160     553181  513122  92.76   511602  153037  27.66
161     524653  472994  90.15   468736  191604  36.52
162     524653  484548  92.36   481915  165287  31.5
16      22684   20602   90.82   20116   19352   85.31
17      35044   30065   85.79   29182   28454   81.2
18      23316   23045   98.84   22773   21452   92.01
19      26636   26143   98.15   25866   25589   96.07
1       94363   0       0       0       0       0
20      39759   38080   95.78   37757   37356   93.96
21      25681   25306   98.54   25155   25028   97.46
22      26255   25918   98.72   25683   25566   97.38
23      28632   28472   99.44   28275   28058   98
24      24912   24626   98.85   24375   24174   97.04
25      29385   28894   98.33   28569   28317   96.37
26      38016   37513   98.68   37186   36862   96.96
27      24634   24361   98.89   24115   22683   92.08
28      30044   29667   98.75   29500   29196   97.18
29      22314   21243   95.2    21015   19414   87
2       215682  0       0       0       0       0
30      15451   14611   94.56   14380   12103   78.33
31      15281   14229   93.12   13957   12086   79.09
32      20097   18719   93.14   18588   17436   86.76
33      21046   19854   94.34   19504   18122   86.11
34      20146   18258   90.63   18085   17375   86.25
35      16359   15315   93.62   15047   14463   88.41
36      21740   20742   95.41   20529   18299   84.17
37      13160   12397   94.2    12172   10344   78.6
38      19330   18242   94.37   17955   16145   83.52
39      15537   14040   90.36   13771   11736   75.54
3       25717   24985   97.15   24625   22499   87.49
40      17089   16114   94.29   15765   15652   91.59
41      15734   14968   95.13   14764   14015   89.07
42      15034   14088   93.71   13805   12461   82.89
43      18489   17255   93.33   16951   15300   82.75
44      19425   18242   93.91   18025   17185   88.47
45      13395   12657   94.49   12519   9697    72.39
46      18510   17566   94.9    17275   15657   84.59
47      21710   19974   92      19644   17865   82.29
48      21406   19792   92.46   19459   16200   75.68
49      15401   14577   94.65   14365   13032   84.62
4       36668   36232   98.81   35680   33162   90.44
50      20461   19274   94.2    19057   18350   89.68
51      16930   15881   93.8    15593   13784   81.42
52      14220   13394   94.19   13119   11968   84.16
53      17338   16302   94.02   16179   15600   89.98
54      19331   18599   96.21   18298   17918   92.69
55      17880   16964   94.88   16831   16310   91.22
56      15957   14907   93.42   14659   12095   75.8
57      20592   19329   93.87   19173   18091   87.85
58      15884   15068   94.86   14861   13199   83.1
59      18480   17440   94.37   17302   15199   82.25
5       35207   34286   97.38   32815   30318   86.11
60      13350   12641   94.69   12535   10566   79.15
61      14491   12973   89.52   12723   11201   77.3
62      5648    5080    89.94   4982    4621    81.82
63      23963   22400   93.48   22273   21653   90.36
64      18267   17178   94.04   17004   15613   85.47
65      18203   16855   92.59   16581   15749   86.52
66      19278   17950   93.11   17572   14671   76.1
67      13087   12292   93.93   12151   10319   78.85
68      15254   13762   90.22   13582   12431   81.49
69      19474   18296   93.95   18029   16639   85.44
6       34745   34181   98.38   33698   32426   93.33
70      18648   17041   91.38   16682   15245   81.75
71      20973   19574   93.33   19298   17758   84.67
72      19800   18380   92.83   18227   17085   86.29
73      20677   19037   92.07   18859   17518   84.72
74      15390   13646   88.67   13424   13032   84.68
75      17852   16554   92.73   16413   16034   89.82
76      24084   22507   93.45   22181   19230   79.85
77      14647   13358   91.2    13082   12485   85.24
78      24656   22929   93      22637   19859   80.54
79      7603    7164    94.23   6962    5812    76.44
7       34417   34049   98.93   33739   29770   86.5
80      14885   14163   95.15   14032   12378   83.16
81      16547   15550   93.97   15415   14628   88.4
82      19242   17917   93.11   17745   15948   82.88
83      25442   23624   92.85   23252   21064   82.79
84      21884   20043   91.59   19806   17237   78.77
85      14170   12814   90.43   12675   11773   83.08
86      16121   14443   89.59   14269   12259   76.04
87      20625   19384   93.98   19152   17782   86.22
88      19159   17958   93.73   17815   15856   82.76
89      20842   19564   93.87   19285   17950   86.12
8       37192   35739   96.09   34041   30779   82.76
90      17733   16671   94.01   16492   16021   90.35
91      23337   21599   92.55   21205   17148   73.48
92      18581   17189   92.51   16855   14921   80.3
93      20909   19441   92.98   19220   17431   83.37
94      17046   15942   93.52   15728   14491   85.01
95      15228   13908   91.33   13677   12735   83.63
96      19146   17952   93.76   17708   16844   87.98
